tree,sampled_points,f_threshold,voxel_size,chamfer_distance,hausdorff_distance,precision,recall,f_score,voxel_iou,gt_mesh,pred_mesh,mean_dist_pred_to_gt,mean_dist_gt_to_pred,max_dist_pred_to_gt,max_dist_gt_to_pred,source_csv
synthetic_03,100000,0.2,0.1,0.058856445489211,1.304523019258094,1.0,0.98113,0.9904751328787108,0.6864775152137833,data\synthetic\gt_mesh\synthetic_03_gt.obj,data\synthetic\adtree_output\synthetic_03_branches.obj,0.024019928345926,0.0348365171432849,0.1229075268857425,1.304523019258094,synthetic_03_100000_sample_points_f0.20_v0.10.csv
synthetic_04,50000,0.05,0.1,0.0452059206393459,0.2767158124163382,0.8985,0.94426,0.9208118365929366,0.6929048564722874,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0244064678416999,0.020799452797646,0.1875238568054125,0.2767158124163382,synthetic_04_50000_sample_points_f0.05_v0.10.csv
synthetic_04,50000,0.1,0.1,0.0452496615943451,0.2618967918310612,0.98768,0.99232,0.9899945632323232,0.6910994764397905,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0242810327152603,0.0209686288790847,0.1885051897915981,0.2618967918310612,synthetic_04_50000_sample_points_f0.10_v0.10.csv
synthetic_04,50000,0.2,0.1,0.045332488363867,0.3045429463991674,1.0,0.99922,0.999609847840658,0.6846250223733668,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0242051157163218,0.0211273726475452,0.1848062680691453,0.3045429463991674,synthetic_04_50000_sample_points_f0.20_v0.10.csv
synthetic_04,75000,0.05,0.1,0.0419833492552281,0.2577975915365347,0.9015333333333332,0.9501333333333334,0.9251955403540356,0.7113473941084191,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0231343311898366,0.0188490180653915,0.1790555794188506,0.2577975915365347,synthetic_04_75000_sample_points_f0.05_v0.10.csv
synthetic_04,75000,0.1,0.1,0.0416508959891867,0.2429316174893294,0.9873866666666666,0.9951866666666668,0.99127132297194,0.705831308573412,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0230052884365603,0.0186456075526264,0.1803993425124093,0.2429316174893294,synthetic_04_75000_sample_points_f0.10_v0.10.csv
synthetic_04,75000,0.2,0.1,0.0418622853704382,0.2888334485611887,1.0,0.9994666666666666,0.999733262203254,0.7151091703056769,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0230606358097194,0.0188016495607188,0.1925637055365472,0.2888334485611887,synthetic_04_75000_sample_points_f0.20_v0.10.csv
synthetic_04,100000,0.05,0.1,0.0396505394307936,0.2192679235611846,0.9056,0.95563,0.9299425949506508,0.7279562542720438,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0222386500988984,0.0174118893318952,0.1871484492053001,0.2192679235611846,synthetic_04_100000_sample_points_f0.05_v0.10.csv
synthetic_04,100000,0.1,0.1,0.0397831319303238,0.231785735318838,0.98724,0.99586,0.9915312655942716,0.7204905467552376,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0223595373729206,0.0174235945574032,0.190777748792309,0.231785735318838,synthetic_04_100000_sample_points_f0.10_v0.10.csv
synthetic_04,100000,0.2,0.1,0.0395023335192363,0.2076066149514004,1.0,0.99999,0.999994999975,0.7305061559507524,data\synthetic\gt_mesh\synthetic_04_gt.obj,data\synthetic\adtree_output\synthetic_04_branches.obj,0.0222222845466933,0.0172800489725429,0.1828143385870844,0.2076066149514004,synthetic_04_100000_sample_points_f0.20_v0.10.csv
